ds,y
2024-01-01,50553
2024-01-08,78392
2024-01-15,54749
2024-01-22,59351
2024-01-29,55475
2024-02-05,57155
2024-02-12,64561
2024-02-19,63479
2024-02-26,60941
2024-03-04,93496
2024-03-11,63484
2024-03-18,64571
2024-03-25,95814
2024-04-01,61779
2024-04-08,63127
2024-04-15,67480
2024-04-22,66562
2024-04-29,71229
2024-05-06,67642
2024-05-13,94265
2024-05-20,75634
2024-05-27,70315
2024-06-03,71292
2024-06-10,66515
2024-06-17,69302
2024-06-24,71354
2024-07-01,67272
2024-07-08,72127
2024-07-15,69001
2024-07-22,70028
2024-07-29,69130
2024-08-05,77142
2024-08-12,71408
2024-08-19,68391
2024-08-26,74828
2024-09-02,68813
2024-09-09,74020
2024-09-16,67827
2024-09-23,70709
2024-09-30,76568
2024-10-07,79395
2024-10-14,78788
2024-10-21,79186
2024-10-28,80012
2024-11-04,77760
2024-11-11,81791
2024-11-18,84301
2024-11-25,90905
2024-12-02,90422
2024-12-09,85523
2024-12-16,94072
2024-12-23,93687
2024-12-30,94638
2025-01-06,100631
2025-01-13,103816
2025-01-20,105297
2025-01-27,101379
2025-02-03,104755
2025-02-10,108408
2025-02-17,111985
2025-02-24,108750
2025-03-03,111006
2025-03-10,109267
2025-03-17,110073
2025-03-24,117480
2025-03-31,120081
2025-04-07,116257
2025-04-14,148331
2025-04-21,118800
2025-04-28,115999
2025-05-05,119544
2025-05-12,123546
2025-05-19,118669
2025-05-26,123884
2025-06-02,110533
2025-06-09,121544
2025-06-16,119162
2025-06-23,117883
